airport	runway	bbox
VTSC	02	{lat:6.507416740791035,lng:101.7382014982908},{lat:6.507577259139873,lng:101.7378265016493},{lat:6.517945280692156,lng:101.74232240554247},{lat:6.517784759027311,lng:101.74269740849279}
VTSC	20	{lat:6.528313262458462,lng:101.74681849533532},{lat:6.528152737472227,lng:101.74719350460457},{lat:6.517784759027311,lng:101.74269740849279},{lat:6.517945280692156,lng:101.74232240554247}
VTSG	14	{lat:8.106338790814755,lng:98.9799602257052},{lat:8.106595209123821,lng:98.980277774396},{lat:8.096103296684786,lng:98.98892149816251},{lat:8.095846885059327,lng:98.98860395224249}
VTSG	32	{lat:8.08561120244471,lng:98.99756477162664},{lat:8.085354797494023,lng:98.99724722847428},{lat:8.095846885059327,lng:98.98860395224249},{lat:8.096103296684786,lng:98.98892149816251}
VTSP	09	{lat:8.111756066935266,lng:98.3033253940274},{lat:8.11215993306382,lng:98.3032866059531},{lat:8.113435157564343,lng:98.31683656971413},{lat:8.113031290154476,lng:98.31687534429682}
VTSP	27	{lat:8.114709934345012,lng:98.3303866194459},{lat:8.114306065654075,lng:98.33042538053459},{lat:8.113031290154476,lng:98.31687534429683},{lat:8.113435157564343,lng:98.31683656971414}
VTSS	08	{lat:6.930784762106126,lng:100.38053666127126},{lat:6.931187237892497,lng:100.3804853387068},{lat:6.932905434165856,lng:100.39416029459466},{lat:6.932502956912104,lng:100.39421160566746}
VTSS	26	{lat:6.934623239359898,lng:100.4078353502},{lat:6.934220760638725,lng:100.40788664977808},{lat:6.932502956912104,lng:100.39421160566746},{lat:6.932905434165856,lng:100.39416029459466}
VVNB	11L	{lat:21.22507824969213,lng:105.79251357633198},{lat:21.225465750283416,lng:105.79264242383724},{lat:21.221208383756387,lng:105.80737486644104},{lat:21.220820894346478,lng:105.80724598396156}
VVNB	11R	{lat:21.224500240567707,lng:105.78628560817312},{lat:21.224887759407874,lng:105.786414391996},{lat:21.219836153365872,lng:105.80390401155721},{lat:21.21944864779296,lng:105.80377518621044}
VVNB	29L	{lat:21.214782746140205,lng:105.82139243351061},{lat:21.214395253835352,lng:105.82126356665853},{lat:21.219448647792966,lng:105.80377518621046},{lat:21.21983615336588,lng:105.80390401155724}
VVNB	29R	{lat:21.21694973910175,lng:105.82210645880487},{lat:21.216562260873786,lng:105.82197754136433},{lat:21.220820894346467,lng:105.80724598396156},{lat:21.22120838375638,lng:105.80737486644104}
VVTS	07L	{lat:10.81482210481441,lng:106.63718109971234},{lat:10.81520589516745,lng:106.63703090019156},{lat:10.82013117215905,lng:106.6500761929915},{lat:10.819747375502065,lng:106.65022637828238}
VVTS	07R	{lat:10.813660655014205,lng:106.64346807583779},{lat:10.814039344968146,lng:106.6433199240687},{lat:10.818971622860404,lng:106.65638821612711},{lat:10.81859292667814,lng:106.65653635383048}
VVTS	25L	{lat:10.823903351197623,lng:106.66945693813832},{lat:10.823524648784721,lng:106.6696050617681},{lat:10.81859292667814,lng:106.65653635383048},{lat:10.818971622860404,lng:106.65638821612711}
VVTS	25R	{lat:10.825055901472556,lng:106.66312191442543},{lat:10.82467209850929,lng:106.66327208547841},{lat:10.819747375502065,lng:106.6502263782824},{lat:10.82013117215905,lng:106.65007619299153}
VYYY	03	{lat:16.897791619900712,lng:96.12712543817568},{lat:16.89808637982793,lng:96.12665256145482},{lat:16.910985077282966,lng:96.13543545096972},{lat:16.910690297188495,lng:96.1359083463118}
VYYY	21	{lat:16.92388340000354,lng:96.14421954282697},{lat:16.9235885997247,lng:96.14469245680286},{lat:16.910690297188484,lng:96.1359083463118},{lat:16.910985077282955,lng:96.13543545096972}
WAAA	03	{lat:-5.092387012511015,lng:119.54420760064653},{lat:-5.092184987440859,lng:119.54385439940899},{lat:-5.080057526967828,lng:119.55084603319578},{lat:-5.080259548232024,lng:119.55119922997349}
WAAA	21	{lat:-5.067929991242348,lng:119.55783740386336},{lat:-5.068132008709757,lng:119.55819059619189},{lat:-5.080259548232024,lng:119.55119922997349},{lat:-5.080057526967828,lng:119.55084603319578}
WAAA	13	{lat:-5.054442752865516,lng:119.54534517456518},{lat:-5.054135247107461,lng:119.54561082537175},{lat:-5.061476801624802,lng:119.55417572763868},{lat:-5.0617843108702765,lng:119.55391007788789}
WAAA	31	{lat:-5.068818243617465,lng:119.56274082431499},{lat:-5.069125756355433,lng:119.56247517562177},{lat:-5.0617843108702765,lng:119.55391007788789},{lat:-5.061476801624802,lng:119.55417572763868}
WADD	09	{lat:-8.749146686304922,lng:115.15383008555762},{lat:-8.7487413136949,lng:115.15381391445122},{lat:-8.74821005756965,lng:115.1674404264966},{lat:-8.748615429601246,lng:115.16745661241632}
WADD	27	{lat:-8.747678314273577,lng:115.18106689963837},{lat:-8.748083685726249,lng:115.18108310037044},{lat:-8.748615429601246,lng:115.16745661241632},{lat:-8.74821005756965,lng:115.1674404264966}
WARR	10	{lat:-7.37786918086753,lng:112.7734589664479},{lat:-7.377468819130048,lng:112.77352503352222},{lat:-7.379641517407701,lng:112.78691346187547},{lat:-7.3800418811112625,lng:112.78684740659197}
WARR	28	{lat:-7.38181381716385,lng:112.80030202172951},{lat:-7.382214182833726,lng:112.80023597824062},{lat:-7.3800418811112625,lng:112.78684740659197},{lat:-7.379641517407701,lng:112.78691346187547}
WIII	06	{lat:-6.114136584683145,lng:106.64469311439804},{lat:-6.11363541529796,lng:106.6444908856967},{lat:-6.1086135639574834,lng:106.65707849883253},{lat:-6.109114728639488,lng:106.65728073742487}
WIII	07L	{lat:-6.121267614056631,lng:106.63892604208526},{lat:-6.120766385924478,lng:106.63872395800955},{lat:-6.114740100004489,lng:106.65384212241902},{lat:-6.115241322485941,lng:106.65404421839237}
WIII	07R	{lat:-6.142808601726431,lng:106.64376207709648},{lat:-6.142307398254598,lng:106.64355992299868},{lat:-6.136180120147521,lng:106.65892659361438},{lat:-6.136681317853901,lng:106.65912875984594}
WIII	24	{lat:-6.10359141999932,lng:106.66966587580998},{lat:-6.10409257998181,lng:106.66986812428458},{lat:-6.109114728639488,lng:106.65728073742487},{lat:-6.1086135639574834,lng:106.65707849883253}
WIII	25L	{lat:-6.1300524040173405,lng:106.67429291087136},{lat:-6.13055359596372,lng:106.67449508922361},{lat:-6.136681317853902,lng:106.65912875984594},{lat:-6.136180120147522,lng:106.65892659361438}
WIII	25R	{lat:-6.108713391572558,lng:106.66895994611812},{lat:-6.109214608408584,lng:106.66916205397652},{lat:-6.115241322485941,lng:106.65404421839237},{lat:-6.114740100004489,lng:106.65384212241902}
WMKK	14L	{lat:2.778335772641005,lng:101.70162538675729},{lat:2.7786362273163605,lng:101.70207461329987},{lat:2.763559768331261,lng:101.71218174009063},{lat:2.763259317482368,lng:101.71173251670398}
WMKK	14R	{lat:2.743121754328122,lng:101.69773940569189},{lat:2.7434222456297905,lng:101.69818859436455},{lat:2.72843078567118,lng:101.70824021814386},{lat:2.7281302981264894,lng:101.70779103256831}
WMKK	15	{lat:2.7380637482048225,lng:101.67726741074678},{lat:2.7383642517531683,lng:101.67771658930954},{lat:2.723516790945166,lng:101.68767221049562},{lat:2.7232162911110698,lng:101.68722303499423}
WMKK	32L	{lat:2.7134392418833646,lng:101.71829159127559},{lat:2.7131387580750084,lng:101.71784240878024},{lat:2.7281302981264894,lng:101.70779103256831},{lat:2.7284307856711796,lng:101.70824021814386}
WMKK	32R	{lat:2.7484832235005694,lng:101.72228861015219},{lat:2.74818277645726,lng:101.72183938990437},{lat:2.763259317482368,lng:101.71173251670398},{lat:2.763559768331261,lng:101.71218174009063}
WMKK	33	{lat:2.708669248049271,lng:101.69762758625613},{lat:2.7083687519091746,lng:101.69717841379956},{lat:2.7232162911110698,lng:101.68722303499423},{lat:2.7235167909451663,lng:101.68767221049562}
WMKP	04	{lat:5.285811392381154,lng:100.2668603394576},{lat:5.286088607580706,lng:100.26655166047331},{lat:5.297315193052163,lng:100.27672047521042},{lat:5.297037972821724,lng:100.2770291552397}
WMKP	22	{lat:5.30854161261689,lng:100.28688965942723},{lat:5.3082643873448125,lng:100.2871983405034},{lat:5.297037972821724,lng:100.2770291552397},{lat:5.297315193052163,lng:100.27672047521042}
WSSS	02C	{lat:1.3286480115304906,lng:103.98520982028667},{lat:1.3288579884444587,lng:103.9847121796922},{lat:1.3455049992739423,lng:103.99174013034808},{lat:1.34529502093601,lng:103.99223777371614}
WSSS	02L	{lat:1.3488590039472468,lng:103.97769881913635},{lat:1.349068996027322,lng:103.97720118084219},{lat:1.3626355034219062,lng:103.98292914743695},{lat:1.3624255101650744,lng:103.98342678802297}
WSSS	02R	{lat:1.322281013971693,lng:104.00009582067747},{lat:1.3224909860033762,lng:103.9995981793015},{lat:1.3391384967816313,lng:104.00662613018952},{lat:1.3389285233327568,lng:104.00712377432598}
WSSS	20C	{lat:1.3621519898769803,lng:103.99876817690105},{lat:1.361942010097341,lng:103.99926582307727},{lat:1.34529502093601,lng:103.99223777371614},{lat:1.3455049992739416,lng:103.99174013034808}
WSSS	20L	{lat:1.3557859874291247,lng:104.01365417652343},{lat:1.355576012545316,lng:104.01415182345498},{lat:1.338928523332757,lng:104.00712377432596},{lat:1.339138496781631,lng:104.00662613018949}
WSSS	20R	{lat:1.3762019972097161,lng:103.98865717853865},{lat:1.375992002764341,lng:103.98915482143944},{lat:1.362425510165074,lng:103.98342678802297},{lat:1.3626355034219066,lng:103.98292914743695}
YBBN	01L	{lat:-27.38320326833875,lng:153.10706810818587},{lat:-27.382958731137347,lng:153.1065258924135},{lat:-27.369697450686544,lng:153.11411032518842},{lat:-27.369941958581112,lng:153.11465249273851}
YBBN	19R	{lat:-27.356435760434845,lng:153.12169294062275},{lat:-27.356680239041793,lng:153.12223505997562},{lat:-27.369941958581112,lng:153.11465249273851},{lat:-27.369697450686544,lng:153.11411032518842}
YBBN	01R	{lat:-27.40289485589417,lng:153.11842071178916},{lat:-27.402711143809874,lng:153.11801328854943},{lat:-27.388645886167122,lng:153.12605883094753},{lat:-27.388829574880226,lng:153.12646621572415}
YBBN	19L	{lat:-27.374580167173107,lng:153.1341023270017},{lat:-27.374763832531265,lng:153.1345096733364},{lat:-27.388829574880223,lng:153.12646621572415},{lat:-27.388645886167122,lng:153.12605883094753}
YMML	09	{lat:-37.66095829503809,lng:144.8222281652282},{lat:-37.660553704958915,lng:144.82226583466914},{lat:-37.661306907602835,lng:144.8351866686738},{lat:-37.66171150178704,lng:144.8351490692707}
YMML	27	{lat:-37.66205870085767,lng:144.8481077646288},{lat:-37.66246329913936,lng:144.84807023526895},{lat:-37.66171150178704,lng:144.8351490692707},{lat:-37.661306907602835,lng:144.8351866686738}
YMML	16	{lat:-37.65323144541841,lng:144.83457362853392},{lat:-37.653152553620785,lng:144.83524837110764},{lat:-37.669451084008806,lng:144.83828927560864},{lat:-37.66952999312916,lng:144.83761438811}
YMML	34	{lat:-37.685749536290544,lng:144.84133151608927},{lat:-37.685828462747544,lng:144.84065648355153},{lat:-37.66952999312916,lng:144.83761438811},{lat:-37.669451084008806,lng:144.83828927560864}
YPAD	05	{lat:-34.95783646267674,lng:138.5186149795996},{lat:-34.95752553711612,lng:138.51829702100352},{lat:-34.94900768300145,lng:138.530695302152},{lat:-34.94931857625352,lng:138.53101327473337}
YPAD	23	{lat:-34.94048856942025,lng:138.5430910070307},{lat:-34.94079943037259,lng:138.54340899357197},{lat:-34.94931857625352,lng:138.53101327473337},{lat:-34.94900768300145,lng:138.530695302152}
YPAD	12	{lat:-34.941354885584616,lng:138.52176894026167},{lat:-34.941017114261456,lng:138.5220430591738},{lat:-34.945128338733284,lng:138.52958267247433},{lat:-34.94546612699179,lng:138.52930857087694}
YPAD	30	{lat:-34.94923909732536,lng:138.5371230418541},{lat:-34.949576902520725,lng:138.53684895758119},{lat:-34.94546612699179,lng:138.52930857087694},{lat:-34.945128338733284,lng:138.52958267247433}
YPPH	03	{lat:-31.958787682053007,lng:115.95991509402245},{lat:-31.95869031752478,lng:115.95945090622362},{lat:-31.94361790103601,lng:115.96384216211035},{lat:-31.943715249591058,lng:115.96430627840992}
YPPH	06	{lat:-31.941162453987886,lng:115.95932692669794},{lat:-31.94081554589177,lng:115.95907907376984},{lat:-31.935775431212097,lng:115.96887409916455},{lat:-31.93612232028552,lng:115.96912197546952}
YPPH	21	{lat:-31.928545333492288,lng:115.96823197769739},{lat:-31.928642666085963,lng:115.96869602254823},{lat:-31.943715249591058,lng:115.96430627840992},{lat:-31.94361790103601,lng:115.96384216211035}
YPPH	24	{lat:-31.930734564913475,lng:115.97866805039985},{lat:-31.931081434966142,lng:115.97891595006779},{lat:-31.93612232028552,lng:115.96912197546952},{lat:-31.935775431212097,lng:115.96887409916455}
YSSY	07	{lat:-33.943934122441725,lng:151.16369482031774},{lat:-33.94354387752219,lng:151.16356117998856},{lat:-33.94056403017501,lng:151.17620159587483},{lat:-33.940954261434726,lng:151.17633528946965}
YSSY	25	{lat:-33.93758289118392,lng:151.18884112673098},{lat:-33.937973108779914,lng:151.1889748735755},{lat:-33.940954261434726,lng:151.17633528946965},{lat:-33.94056403017501,lng:151.17620159587483}
YSSY	16L	{lat:-33.95167869145275,lng:151.18860794248397},{lat:-33.95159330808517,lng:151.18908605727617},{lat:-33.96115432819605,lng:151.1915678039398},{lat:-33.961239721158826,lng:151.19108963790876}
YSSY	34R	{lat:-33.970715298487555,lng:151.1940501085264},{lat:-33.97080070105002,lng:151.19357189123352},{lat:-33.961239721158826,lng:151.19108963790876},{lat:-33.96115432819605,lng:151.1915678039398}
YSSY	16R	{lat:-33.930142654717336,lng:151.1715439934225},{lat:-33.930057344820916,lng:151.17202200633812},{lat:-33.94714091561436,lng:151.1764516628163},{lat:-33.94722624262997,lng:151.17597355841684}
YSSY	34L	{lat:-33.9642243276943,lng:151.18088309785855},{lat:-33.96430967184337,lng:151.18040490190154},{lat:-33.94722624262996,lng:151.17597355841684},{lat:-33.94714091561437,lng:151.1764516628163}
ZBAA	01	{lat:40.058946265912,lng:116.61800823862863},{lat:40.05888173303341,lng:116.61730776170306},{lat:40.07586375568142,lng:116.61463634196659},{lat:40.07592830464989,lng:116.61533699100973}
ZBAA	19	{lat:40.09284571693607,lng:116.61196358951383},{lat:40.09291028200808,lng:116.61266441081858},{lat:40.07592830464989,lng:116.61533699100973},{lat:40.07586375568142,lng:116.61463634196659}
ZBAA	18L	{lat:40.08942072997523,lng:116.59447160509438},{lat:40.08948526896904,lng:116.59517239523784},{lat:40.07249229162071,lng:116.59784547586165},{lat:40.07242776873238,lng:116.59714485806485}
ZBAA	36R	{lat:40.05549925287101,lng:116.60051722296292},{lat:40.055434746074525,lng:116.59981677736859},{lat:40.07242776873238,lng:116.59714485806485},{lat:40.07249229162071,lng:116.59784547586165}
ZBAA	18R	{lat:40.10203402309434,lng:116.56938026437369},{lat:40.102087976173756,lng:116.56996373585767},{lat:40.08778249246308,lng:116.57222415038952},{lat:40.08772855072395,lng:116.57164079975256}
ZBAA	36L	{lat:40.07347696483788,lng:116.57448361505296},{lat:40.07342303443097,lng:116.57390038517795},{lat:40.08772855072395,lng:116.57164079975256},{lat:40.08778249246308,lng:116.57222415038952}
ZGGG	01	{lat:23.376895228885125,lng:113.28372050071295},{lat:23.376992770822405,lng:113.28329149912919},{lat:23.39276233424115,lng:113.28754746838219},{lat:23.392664780694087,lng:113.28797651789371}
ZGGG	19	{lat:23.40853178243701,lng:113.29180445118105},{lat:23.408434217270084,lng:113.29223354866077},{lat:23.392664780694087,lng:113.28797651789371},{lat:23.39276233424115,lng:113.28754746838219}
ZGGG	02L	{lat:23.3755790437422,lng:113.3056165047794},{lat:23.375708955739675,lng:113.30504549494081},{lat:23.391480021163773,lng:113.30930445588888},{lat:23.3913500937032,lng:113.30987552951721}
ZGGG	20R	{lat:23.40725097120909,lng:113.31356443112385},{lat:23.40712102827201,lng:113.31413556859577},{lat:23.3913500937032,lng:113.30987552951721},{lat:23.391480021163773,lng:113.30930445588888}
ZGGG	02R	{lat:23.369446025730117,lng:113.30798848670815},{lat:23.369575973751928,lng:113.30741751301207},{lat:23.386222046206935,lng:113.31191391436072},{lat:23.386092081863985,lng:113.31248495536067}
ZGGG	20L	{lat:23.40286799008013,lng:113.31641144567791},{lat:23.402738009401098,lng:113.31698255404172},{lat:23.386092081863985,lng:113.31248495536067},{lat:23.386222046206935,lng:113.31191391436072}
ZGHA	18L	{lat:28.209085422986032,lng:113.22210505465296},{lat:28.209114576333462,lng:113.22271694543053},{lat:28.19199507800458,lng:113.22376706472554},{lat:28.191965929327562,lng:113.22315527168728}
ZGHA	36R	{lat:28.174875571665588,lng:113.22481684773392},{lat:28.174846427654884,lng:113.22420515234941},{lat:28.191965929327562,lng:113.22315527168728},{lat:28.19199507800458,lng:113.22376706472554}
ZGHA	18R	{lat:28.20621397260332,lng:113.21847816360398},{lat:28.206236027012668,lng:113.2189378364435},{lat:28.191818028406473,lng:113.21982842564019},{lat:28.19179597697258,lng:113.21936881463334}
ZGHA	36L	{lat:28.17740002403854,lng:113.22071877463355},{lat:28.177377975577905,lng:113.22025922541378},{lat:28.19179597697258,lng:113.21936881463334},{lat:28.191818028406473,lng:113.21982842564019}
ZPPP	03	{lat:25.105835191876608,lng:102.92044271688204},{lat:25.106086807916352,lng:102.9200912827564},{lat:25.11830970270782,lng:102.93076520856224},{lat:25.118058061508815,lng:102.93111665585594}
ZPPP	04	{lat:25.08941612511813,lng:102.93094837215678},{lat:25.089749874513704,lng:102.93047962720401},{lat:25.103921401520175,lng:102.9427836909021},{lat:25.103587613459258,lng:102.94325245658743}
ZPPP	21	{lat:25.130531833082966,lng:102.94144126958813},{lat:25.1302801667098,lng:102.94179273004977},{lat:25.118058061508815,lng:102.93111665585594},{lat:25.11830970270782,lng:102.93076520856224}
ZPPP	22	{lat:25.118091913192167,lng:102.95509060647083},{lat:25.11775808643928,lng:102.95555939288892},{lat:25.103587613459258,lng:102.94325245658743},{lat:25.103921401520175,lng:102.9427836909021}
ZSAM	05	{lat:24.535354515001288,lng:118.11572378107876},{lat:24.535673484873538,lng:118.11544821857107},{lat:24.544163960888945,lng:118.12732542060387},{lat:24.5438449694355,lng:118.1276009715652}
ZSAM	23	{lat:24.552653506458494,lng:118.13920423012405},{lat:24.5523344934163,lng:118.13947976952551},{lat:24.5438449694355,lng:118.1276009715652},{lat:24.544163960888945,lng:118.12732542060387}
ZSPD	16L	{lat:31.16009203334837,lng:121.81586074163896},{lat:31.16025796595491,lng:121.8164612588868},{lat:31.143958097719437,lng:121.82261076963843},{lat:31.14379219364512,lng:121.82201034488634}
ZSPD	34R	{lat:31.127657937434467,lng:121.8287581664245},{lat:31.12749206186967,lng:121.82815783410027},{lat:31.14379219364512,lng:121.82201034488634},{lat:31.143958097719437,lng:121.82261076963843}
ZSPD	16R	{lat:31.158867014048713,lng:121.81147175280415},{lat:31.159032985254637,lng:121.81207224772174},{lat:31.142733117084504,lng:121.81822325868688},{lat:31.142567174416072,lng:121.81762285625162}
ZSPD	34L	{lat:31.12643295672894,lng:121.82437215527287},{lat:31.126267042575268,lng:121.82377184525201},{lat:31.142567174416072,lng:121.81762285625162},{lat:31.142733117084504,lng:121.81822325868688}
ZSPD	17L	{lat:31.161139004542534,lng:121.78569374919321},{lat:31.16130499476078,lng:121.78629425133276},{lat:31.14415264157013,lng:121.79276787357337},{lat:31.143986681387386,lng:121.79216746875807}
ZSPD	35R	{lat:31.126999964738314,lng:121.79923915404558},{lat:31.126834034565892,lng:121.79863884647935},{lat:31.143986681387386,lng:121.79216746875807},{lat:31.14415264157013,lng:121.79276787357337}
ZSPD	17R	{lat:31.15470892967881,lng:121.78304679783852},{lat:31.154875069624797,lng:121.78364720268777},{lat:31.140295673991094,lng:121.7891550080172},{lat:31.14012955959329,lng:121.78855468584433}
ZSPD	35L	{lat:31.12571604408609,lng:121.79466112003806},{lat:31.125549955218275,lng:121.79406088048725},{lat:31.14012955959329,lng:121.78855468584433},{lat:31.140295673991094,lng:121.7891550080172}
ZUCK	02L	{lat:29.705122666879006,lng:106.63697666809222},{lat:29.705239332745172,lng:106.63652933164796},{lat:29.719064426641236,lng:106.64130914517506},{lat:29.718947744709226,lng:106.64175653766627}
ZUCK	20R	{lat:29.732889348816336,lng:106.64609027558274},{lat:29.732772650807448,lng:106.646537724157},{lat:29.718947744709226,lng:106.64175653766627},{lat:29.719064426641236,lng:106.64130914517506}
ZUCK	02R	{lat:29.706424442252132,lng:106.64148759317685},{lat:29.7065415573723,lng:106.64104040656241},{lat:29.720344651738777,lng:106.64583271945995},{lat:29.720227520515717,lng:106.6462799619697}
ZUCK	20L	{lat:29.7341475734805,lng:106.65062635064895},{lat:29.734030426143516,lng:106.6510736490899},{lat:29.720227520515717,lng:106.6462799619697},{lat:29.720344651738777,lng:106.64583271945995}
ZUCK	03	{lat:29.714240823957375,lng:106.66176456354344},{lat:29.714397175377343,lng:106.66116943599314},{lat:29.730800310898964,lng:106.66688345741214},{lat:29.730643933922007,lng:106.66747867333758}
ZUCK	21	{lat:29.7472032009443,lng:106.67259934758384},{lat:29.747046798389565,lng:106.67319465195183},{lat:29.730643933922007,lng:106.66747867333758},{lat:29.730800310898964,lng:106.66688345741214}
ZUUU	02L	{lat:30.563388531866277,lng:103.94020766147689},{lat:30.56353946776832,lng:103.93977033818294},{lat:30.578599167435645,lng:103.94678172058215},{lat:30.578448208096837,lng:103.94721910086962}
ZUUU	02R	{lat:30.519396590338975,lng:103.93695994508853},{lat:30.519597409014697,lng:103.9363780543103},{lat:30.534663112160402,lng:103.9433854294273},{lat:30.53446226234451,lng:103.94396739595192}
ZUUU	20L	{lat:30.549728440165893,lng:103.95039497853928},{lat:30.54952755918707,lng:103.95097702085852},{lat:30.53446226234451,lng:103.94396739595192},{lat:30.534663112160402,lng:103.9433854294273}
ZUUU	20R	{lat:30.59365849121347,lng:103.95379528117097},{lat:30.593507508420757,lng:103.95423271848826},{lat:30.578448208096823,lng:103.94721910086962},{lat:30.578599167435634,lng:103.94678172058215},